Module Information,Section 1,Section 2,Section 3,Section 4,Section 5,Section 6,Section 7,Section 8,Section 9,Section 10,Section 11,Section 12,Section 13,Section 14,Section 15,Section 16,Section 17,Section 18,Section 19,Section 20,Section 21,Section 22,Section 23
,Skills (Taught),Binomial coefficient,,,,Poisson distribution,Normal distribution,,,Correlation,,,Chebyshev's Inequality,Plotting distribution functions,Skills (Prerequisite),Distribution of a p-value,Skills (Prerequisite),,Skills (Taught),Skills (Prerequisite),R^2 statistic,Intractable posterior distribution,R skills
,Skills (Prerequisite),Sampling w replacement (unordered),,,,Geometric distribution,Cauchy distribution,,,Keywords (Prerequisite),,,Estimating the mean of a sample,Scatterplot,R skills,Type I error,R skills,,Skills (Prerequisite),R skills,Evaluating the fit of a model,The effect of the prior on the posterior,Plotting empirical cdf
,,Keywords (Prerequisite),,,,Negative binomial distribution,Student t-distribution,,,Skills (Taught),,,Parameter estimation,Q-Q plot,Computing critical values for standard normal distribution,Type II error,,,R skills,,Keywords (Prerequisite),Keywords (Prerequisite),
,,Binomial Theorem,,,,Keywords (Prerequisite),Keywords (Prerequisite),,,Extending this to n dimensions,,,Parameter of a distribution,Sample quantiles,Computing critical values for student's t-distribution,Power of hypothesis test,,,,,Skills (Taught),Skills (Taught),
,,Skills (Taught),,,,Skills (Taught),Fundamental theorem of calculus,,,Obtaining joint density from the joint distribution,,,Statistic,Theoretical Quantiles,,Student’s two-sample test,,,,,Skills (Prerequisite),Skills (Prerequisite),
,,Skills (Prerequisite),,,,Skills (Prerequisite),Skills (Taught),,,Obtaining marginal densitiy from joint density,,,Frequentist view,Box plot,,Pooled sample variance,,,,,R skills,R skills,
,,,,,,,Skills (Prerequisite),,,Skills (Prerequisite),,,Point estimator,Pseudorandom Number Generators,,Keywords (Prerequisite),,,,,"The lm function, removing outliers from data, labelling data points on a plot",,
,,,,,,,,,,,,,Standard error,Pseudorandom Number Generators,,Skills (Taught),,,,,,,
,,,,,,,,,,,,,Interval estimator,Middle square,,Drawing conclusions from a hypothesis test,,,,,,,
,,,,,,,,,,,,,Coverage Probability,Mersenne Twister,,Carrying out two-tailed hypothesis test,,,,,,,
,,,,,,,,,,,,,Confidence Interval,Keywords (Prerequisite),,Carrying out one-sided hypothesis test,,,,,,,
,,,,,,,,,,,,,Estimation error,Skills (Taught),,Carrying out student's two-sample test,,,,,,,
,,,,,,,,,,,,,Bias,Skills (Prerequisite),,Skills (Prerequisite),,,,,,,
,,,,,,,,,,,,,Unbiased,R skills,,R skills,,,,,,,
,,,,,,,,,,,,,Mean squared error,"Setting seed, sample, plotting bar charts",,,,,,,,,
,,,,,,,,,,,,,Other measures of central tendency and dispersion,Plot pie chart,,,,,,,,,
,,,,,,,,,,,,,Mode,Plot histogram,,,,,,,,,
,,,,,,,,,,,,,Unimodal,"Indexing, plotting line plots, labelling axes",,,,,,,,,
,,,,,,,,,,,,,Bimodal,"The functions dnorm, pnorm, qnorm, rnorm, seq, adding titles to plots",,,,,,,,,
,,,,,,,,,,,,,Median,Extracting columns from dataframe,,,,,,,,,
,,,,,,,,,,,,,Sample median,"Creating subplots, plotting qq plots of standardised data using qqnorm, calculating sample mean and standard deviation of data, ",,,,,,,,,
,,,,,,,,,,,,,Range,"Plotting box plots, extracting box plot values eg lower quartile, upper whisker, outliers",,,,,,,,,
,,,,,,,,,,,,,Quantile function,"Generating observations from a distribution, e.g. runif",,,,,,,,,
,,,,,,,,,,,,,Lower Quartile,,,,,,,,,,
,,,,,,,,,,,,,Upper Quartile,,,,,,,,,,
,,,,,,,,,,,,,Interquartile Range,,,,,,,,,,
,,,,,,,,,,,,,Keywords (Prerequisite),,,,,,,,,,
,,,,,,,,,,,,,Expectation,,,,,,,,,,
,,,,,,,,,,,,,Variance,,,,,,,,,,
,,,,,,,,,,,,,Moment,,,,,,,,,,
,,,,,,,,,,,,,Skills (Taught),,,,,,,,,,
,,,,,,,,,,,,,Skills (Prerequisite),,,,,,,,,,
,,,,,,,,,,,,,R skills,,,,,,,,,,
,,,,,,,,,,,,,"Finding mean, Plotting Scatter Plot, straight line",,,,,,,,,,
,,,,,,,,,,,,,Computing mean and median,,,,,,,,,,
